coords,Snout_x,Snout_y,LFL_x,LFL_y,RFL_x,RFL_y,LHL_x,LHL_y,RHL_x,RHL_y,Tailtip_x,Tailtip_y
21,132.0131006,198.9062269,109.8095573,209.2532387,37.16069829,214.1613808,13.95476341,211.4190039,16.63270855,207.62657,-0.862332344,195.0890571
22,132.0131006,198.9062269,109.8095573,209.2532387,37.16069829,214.1613808,13.95476341,211.4190039,16.63270855,207.62657,-0.862332344,195.0890571
23,134.0542524,199.4352603,109.6650201,208.6900196,38.1487515,214.0144548,10.16235328,213.2863489,17.89228654,205.7565354,-2.305352211,194.7527144
24,134.055578,199.434974,109.6649585,208.6879153,38.14914584,214.0140676,10.16214824,213.2851118,17.89266014,205.7563761,-2.305357456,194.7516993
25,136.4508204,200.3739476,110.1276937,208.6489706,36.48693943,214.1870782,11.89195539,211.9677288,22.6793828,206.3213825,-3.754874229,195.4390115
26,136.4915285,200.3000379,110.1099381,208.598135,37.12239933,213.9199764,15.7372489,211.6721796,22.52347231,206.0208905,-4.172750473,195.2947226
27,138.7788596,200.6769018,110.0808976,208.9973607,37.68490314,213.5131733,10.58980823,212.9862807,25.59177828,206.8675354,-3.839087486,192.7240827
28,138.7789121,200.6775613,110.0808191,208.9956608,37.67407608,213.5016836,10.6098932,212.9768687,25.58797264,206.8600352,-3.844334602,192.7263069
29,141.0316219,200.8137188,109.9910767,209.2162848,37.88508201,212.3264894,18.22040629,211.3510718,21.25985324,208.4983754,-2.574903488,195.3573987
30,141.0492706,200.8203712,109.9550976,209.1630716,37.67301095,212.2904005,17.38524461,211.4396568,22.40247726,208.7147841,-2.685863972,194.9361036
31,143.6764092,200.7862244,110.1021621,209.7700424,46.13867044,208.3357644,26.70843792,210.3336045,15.44850159,211.4750382,-0.097986698,202.5710801
32,143.6824932,200.7859607,110.1085927,209.7708378,46.1395359,208.3160896,26.7561872,210.2508049,15.27500772,211.4652902,-0.044616222,202.5209568
33,146.3377972,201.0064902,110.5434504,209.5945482,47.29156113,206.7464004,26.78841519,210.2257166,18.40943098,211.9263914,-0.138689995,202.4009701
34,146.3377972,201.0064902,110.5434504,209.5945482,47.29156113,206.7464004,26.78841519,210.2257166,18.40943098,211.9263914,-0.138689995,202.4009701
35,149.1118753,201.3420811,110.6657381,209.6639614,52.98739254,202.670907,25.54834151,211.9537699,19.25138372,210.8584893,-0.184995174,202.8051181
36,149.1121458,201.3403931,110.7207985,209.6868072,52.99480903,202.6515431,25.57094407,211.9163434,19.18987572,210.8366365,-0.148224354,202.8169601
37,151.7772601,202.2607574,110.6322973,209.7059088,57.82884645,200.9185481,13.64437413,212.8030815,27.749897,211.3503531,-1.78426075,203.0080536
38,151.7772601,202.2607574,110.6322973,209.7059088,57.82884645,200.9185481,13.64437413,212.8030815,27.749897,211.3503531,-1.78426075,203.0080536
39,154.4154906,202.9060678,111.1895659,210.3599091,63.30629158,200.7757182,11.99294836,213.6712549,27.69841868,211.9319618,-1.339455128,203.0169388
40,154.4346938,202.9098821,111.2221811,210.3329515,63.31356812,200.7667603,11.98751963,213.6780307,27.70328784,211.9295112,-1.344309807,203.0188614
41,156.5220599,203.417223,110.5429966,210.3270998,69.43836975,200.4389234,10.9447546,213.3360701,27.83489613,211.2013489,-2.658009529,202.346578
42,156.5220599,203.417223,110.5429966,210.3270998,69.43836975,200.4389234,10.9447546,213.3360701,27.83489613,211.2013489,-2.658009529,202.346578
43,159.1231487,203.6980758,111.7575054,210.6840019,75.56619549,200.2856092,14.52843308,213.1420318,24.91087985,211.5217715,-1.478302002,203.1736453
44,159.1016216,203.6996689,111.7748165,210.6883003,75.5567131,200.3360062,14.48864198,213.1554953,24.94886303,211.5468679,-1.485477924,203.1833376
45,161.3391776,204.393116,110.7946899,212.4599733,84.22672176,201.4268956,14.8979075,212.8923252,24.66434598,211.5629518,-1.787021637,202.5029551
46,161.3391776,204.393116,110.7946899,212.4599733,84.22672176,201.4268956,14.8979075,212.8923252,24.66434598,211.5629518,-1.787021637,202.5029551
47,163.6848527,204.5413427,109.3878484,213.0703286,93.51217926,202.3398132,21.45337617,212.5287591,27.34412217,212.6529852,-0.373660564,202.6993796
48,163.6543185,204.6058817,109.3731309,213.0895252,93.48741221,202.3717561,21.40075839,212.5432416,27.35131073,212.6817737,-0.377457142,202.7117689
49,166.2694695,204.5036135,109.1641759,211.8357043,103.2117357,203.0254869,16.36343718,210.1031446,29.09307182,214.5035255,0.217371464,202.569656
